Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Prospect Status
The Roofers,The Roofers,Cold,6,construction,http://www.theroofers.ca,https://www.facebook.com/The.Roofers.Toronto,
"BATTERBEE ROOFING, INC.",BATTERBEE ROOFING,Cold,10,construction,http://www.batterbeeroofing.com,https://www.facebook.com/BatterbeeRoofing,
International Roofing Expo (IRE),International Roofing Expo,Cold,2,construction,http://www.theroofingexpo.com,https://www.facebook.com/RoofingExpo,
Liquid Roofing Systems Ltd,Liquid Roofing,Cold,10,construction,http://www.lrs-systems.co.uk,,
Sol Vista Roofing,Sol Vista Roofing,Cold,4,construction,http://www.solvistaroofing.com,https://www.facebook.com/Sol-Vista-Roofing-101060195259509,
NERC UK LTD,NERC UK,Cold,6,construction,http://www.northeastroofingcontractors.co.uk,https://www.facebook.com/NERC.uk.ltd/,
Taylor Roofs,Taylor Roofs,Cold,10,construction,http://www.taylorroofs.co.uk,,
KINGSLEY ROOFING SERVICES LIMITED,KINGSLEY ROOFING SERVICES LIMITED,Cold,3,construction,http://www.kingsleyroofers.co.uk,https://www.facebook.com/kingsleyroofing,
UK Roofing Specialist Ltd,UK Roofing Specialist,Cold,10,construction,http://www.ukroofingspecialist.co.uk,,
The Single Ply Roofing Association (SPRA),The Single Ply Roofing Association,Cold,7,construction,http://www.spra.co.uk,https://facebook.com/singleplyroofingassociation,
Excel Metal Roofing LLC,Excel Metal Roofing,Cold,6,construction,http://www.excelmetalroofing.com,,
Ascend Roofing LLC,Ascend Roofing,Cold,3,construction,http://www.ascendroofingllc.com,https://www.facebook.com/Ascend-Roofing-111749897279025/,
Good Contractors Roofing and Restoration,Good Contractors Roofing and Restoration,Cold,5,construction,http://www.goodcontractorsroofing.com,https://facebook.com/goodcontractorsroofing,
RTB ROOFING LIMITED,RTB ROOFING LIMITED,Cold,8,construction,http://www.rtbroofinglimited.com,https://www.facebook.com/rtbroofinglimited,
Naples Roofing &  Sheet Metals,Naples Roofing & Sheet Metals,Cold,3,construction,http://www.naples-roofing.com,https://www.facebook.com/naplesroofingny/,
Endon Roofing Limited,Endon Roofing Limited,Cold,7,construction,http://www.endonroofing.com,https://www.facebook.com/Endonroofing,
HI Low Roofing,HI Low Roofing,Cold,6,construction,http://www.hilowroofing.com,,
Integrity Roofers LTD,Integrity Roofers,Cold,4,construction,http://www.integrityroofers.com,https://facebook.com/integrityroofers,
"Wrangler Roofing, Inc.",Wrangler Roofing,Cold,4,construction,http://www.wranglerroofing.com,https://www.facebook.com/pages/Wrangler-Roofing-Inc/605500732919810,
Iron Shield Roofing Inc.,Iron Shield Roofing,Cold,7,construction,http://www.ironshieldroofing.com,https://www.facebook.com/ironshieldroofing/,
Canadian Roofing Contractors Association,Canadian Roofing Contractors Association,Cold,9,construction,http://www.roofingcanada.com,https://www.facebook.com/Canadian-Roofing-Contractors-Association-113028683592871/,
Cross Country Roofing,Cross Country Roofing,Cold,4,construction,http://www.crosscountryroofing.com,,
DunRite Exteriors,DunRite Exteriors,Cold,10,construction,http://www.calldunrite.com,https://www.facebook.com/calldunrite,
Everclad Ltd,Everclad,Cold,6,construction,http://www.everclad.co.uk,,
BC Build Envelope,BC Build Envelope,Cold,4,construction,http://www.bcbuildenvelope.ca,https://www.facebook.com/bcbuildenvelope,
Salt Town Contractors,Salt Town Contractors,Cold,1,construction,http://www.salttowncontractors.com,,
RMC Roofing & Construction,RMC Roofing & Construction,Cold,3,construction,http://www.rmcroofingnm.com,,
BR Roofing Inc,BR Roofing,Cold,5,construction,http://www.br-roofing.com,,
North Texas Roofing Contractors Association (NTRCA),North Texas Roofing Contractors Association,Cold,6,construction,http://www.ntrca.com,,
R3NG,R3NG,Cold,8,construction,http://www.r3ng.com,,
