Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Website Status
PSC Flooring Ltd,PSC Flooring,Cold,3,construction,http://www.pscflooring.co.uk,https://www.facebook.com/PSC-Flooring-Ltd-796478567386118/,Offline
Tricas Flooring Limited,Tricas Flooring Limited,Cold,4,construction,http://www.tricasflooring.co.uk,,Offline
Thorpes Flooring,Thorpes Flooring,Cold,5,construction,http://www.thorpes-flooring.com,,Online
M2 Flooring Solutions Ltd,M2 Flooring Solutions,Cold,1,construction,http://www.m2flooringsolutions.co.uk,,Online
"Industrial Flooring Solutions Co., Ltd.",Industrial Flooring Solutions,Cold,2,construction,http://www.ifsco.com.vn,https://www.facebook.com/sancongnghiepco/,Offline
IRL Flooring | Flooring Specialists,IRL Flooring,Cold,4,construction,http://www.irlflooring.ae,https://www.facebook.com/irlflooring/,Online
Above All Epoxy Flooring,Above All Epoxy Flooring,Cold,3,construction,http://www.aboveallepoxy.com,https://www.facebook.com/AboveAllEpoxyFlooringLLC,Online
WOLFF Tools UK,WOLFF Tools UK,Cold,1,construction,http://www.wolff-tools.com,https://www.facebook.com/wolfftoolsnorthamerica,Online
CARTERS FLOORING (LEISURE) LIMITED,CARTERS FLOORING LIMITED,Cold,4,construction,http://www.carters-flooring.co.uk,,Online
The Flooring Co Ltd,The Flooring Co,Cold,8,construction,http://www.flooringco.co.uk,https://www.facebook.com/theflooringcoltd,Online
Preferred Flooring,Preferred Flooring,Cold,9,construction,http://www.preferredflooringmi.com,https://facebook.com/preferredflooringmi,Online
Abacus Flooring Solutions Limited,Abacus Flooring Solutions Limited,Cold,8,construction,http://www.abacusflooringsolutions.co.uk,,Online
AZ Flooring Inc.,AZ Flooring,Cold,6,construction,http://www.azflooring.net,,Offline
L. Cox Flooring,L. Cox Flooring,Cold,3,construction,http://www.lcoxflooring.com,https://facebook.com/L-Cox-Flooring-101083361821576/,Online
One Flooring,One Flooring,Cold,3,construction,http://www.oneflooring.co.uk,,Online
Veatu Flooring Ltd,Veatu Flooring,Cold,10,construction,http://www.veatuflooring.com,,Online
GB Flooring Group,GB Flooring Group,Cold,5,construction,http://www.gbflooring.org,,Online
Pinnacle Flooring Ltd,Pinnacle Flooring,Cold,9,construction,http://www.pinnacle.org.uk,,Offline
