Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Website Status,Social Media Links,Email Addresses
PSC Flooring Ltd,PSC Flooring,Cold,3,construction,http://www.pscflooring.co.uk,https://www.facebook.com/PSC-Flooring-Ltd-796478567386118/,Offline or Error,None,None
Tricas Flooring Limited,Tricas Flooring Limited,Cold,4,construction,http://www.tricasflooring.co.uk,,Offline or Error,None,None
Thorpes Flooring,Thorpes Flooring,Cold,5,construction,http://www.thorpes-flooring.com,,Online,"['https://www.instagram.com/thorpesflooring/', 'https://www.instagram.com/thorpesflooring/', 'https://www.instagram.com/thorpesflooring/', 'https://www.instagram.com/thorpesflooring/']",['hamish.anderson@thorpes-flooring.com']
M2 Flooring Solutions Ltd,M2 Flooring Solutions,Cold,1,construction,http://www.m2flooringsolutions.co.uk,,Online,None,['info@m2fs.co.uk']
"Industrial Flooring Solutions Co., Ltd.",Industrial Flooring Solutions,Cold,2,construction,http://www.ifsco.com.vn,https://www.facebook.com/sancongnghiepco/,Offline or Error,None,None
IRL Flooring | Flooring Specialists,IRL Flooring,Cold,4,construction,http://www.irlflooring.ae,https://www.facebook.com/irlflooring/,Online,['https://www.facebook.com/irlflooring/'],['sales@irlflooring.ae']
Above All Epoxy Flooring,Above All Epoxy Flooring,Cold,3,construction,http://www.aboveallepoxy.com,https://www.facebook.com/AboveAllEpoxyFlooringLLC,Online,"['https://www.facebook.com/AboveAllEpoxyFlooringLLC', 'https://www.instagram.com/aboveallepoxyflooring']",['AboveAllEpoxy@gmail.comHoursMonday']
WOLFF Tools UK,WOLFF Tools UK,Cold,1,construction,http://www.wolff-tools.com,https://www.facebook.com/wolfftoolsnorthamerica,Online,"['https://www.facebook.com/WOLFFtoolsDE/', 'https://www.instagram.com/wolff_tools_de/', 'https://www.facebook.com/WOLFFtoolsDE', 'https://www.instagram.com/wolff_tools_de/', 'https://www.facebook.com/WOLFFtoolsDE/', 'https://www.instagram.com/wolff_tools_de/']",['Ilsfeldtools@uzin-utz.comWOLFF']
CARTERS FLOORING (LEISURE) LIMITED,CARTERS FLOORING LIMITED,Cold,4,construction,http://www.carters-flooring.co.uk,,Online,"['https://www.instagram.com/', 'https://www.instagram.com/carters_flooring/', 'https://www.instagram.com/carters_flooring/']",['info@carters-flooring.co.uk']
The Flooring Co Ltd,The Flooring Co,Cold,8,construction,http://www.flooringco.co.uk,https://www.facebook.com/theflooringcoltd,Online,"['https://www.facebook.com/theflooringcoltd', 'https://www.instagram.com/theflooringcouk']",['Info@flooringco.co.uk']
Preferred Flooring,Preferred Flooring,Cold,9,construction,http://www.preferredflooringmi.com,https://facebook.com/preferredflooringmi,Online,"['https://www.instagram.com/p/C3dSdAAsH0b/', 'https://www.instagram.com/p/C2viPhVBy6r/', 'https://www.instagram.com/p/C2fMYVaNchM/', 'https://www.instagram.com/p/C2bLN2iuMS2/', 'http://instagram.com/preferred_flooring_mi', 'http://www.facebook.com/preferredflooringmi']","['279-2162info@preferredflooringmi.com', 'info@preferredflooringmi.com']"
Abacus Flooring Solutions Limited,Abacus Flooring Solutions Limited,Cold,8,construction,http://www.abacusflooringsolutions.co.uk,,Online,"['https://www.facebook.com/abacusfloorings', 'https://www.instagram.com/abacus_flooring_solutions/', 'https://www.facebook.com/abacusfloorings', 'https://www.instagram.com/abacus_flooring_solutions/']",['admin@abacusflooringsolutions.co.uk']
AZ Flooring Inc.,AZ Flooring,Cold,6,construction,http://www.azflooring.net,,Offline or Error,None,None
